load_dt,cntnt_id,invt_space_id,tdata_srv_type_id,srv_type_desc,served_content_cnt
10/14/15,54af021cb01662da5cf89c06,IS1092,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89bea,IS1093,1,Voice (Uvrs),1
10/14/15,543c6f3bb01662da5cf8897d,IS1067,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89c09,IS1093,1,Voice (Uvrs),1
10/14/15,56170c7996c449533636e378,IS1053,1,Voice (Telco),1
10/14/15,5612fbd696c449533636e2d7,IS1232,1,Voice (Uvrs),1
10/14/15,556e13b3ebdee613fee3f264,IS1172,1,Voice (Uvrs),1
10/14/15,54af021cb01662da5cf89bf5,IS1092,1,Voice (Telco),1
10/14/15,556e2cc7ebdee613fee3f275,IS1013,1,Voice (Telco),1
10/14/15,55c28fd396c449533636db43,IS1034,1,Voice (Uvrs),1
10/14/15,560c568396c449533636e0da,IS1035,1,Voice (Telco),1
10/14/15,560c8e8796c449533636e0df,IS1232,1,Voice (Uvrs),1
10/14/15,5565d348ebdee613fee3f1bc,IS1003,1,Voice (Uvrs),1
10/14/15,55cbd86396c449533636dba4,IS1034,1,Voice (Uvrs),1
10/14/15,556e2fd3ebdee613fee3f296,IS1172,1,Voice (Uvrs),1
10/14/15,556cdb48ebdee613fee3f22e,IS1003,1,Voice (Uvrs),1
10/14/15,5565d347ebdee613fee3f1af,IS1027,1,Voice (Telco),1
10/14/15,55d25add96c449533636dc37,IS1232,1,Voice (Uvrs),1
10/14/15,54af021db01662da5cf89c13,IS1093,1,Voice (Telco),1
10/14/15,55ef554696c449533636de8a,IS1162,1,Voice (Telco),1
10/14/15,556e2cc7ebdee613fee3f276,IS1026,1,Voice (Uvrs),1
10/14/15,54ebab5398e6b8749a0448a9,IS1059,1,Voice (Uvrs),1
10/14/15,5565d348ebdee613fee3f1bf,IS1002,1,Voice (Telco),1
10/14/15,561c284796c449533636e3ab,IS1230,1,Voice (Uvrs),1
10/14/15,54af021db01662da5cf89c14,IS1094,1,Voice (Telco),1
10/14/15,543c6f3bb01662da5cf88979,IS1058,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89bfe,IS1094,1,Voice (Telco),1
10/14/15,5515d71c98e6b8749a044dd5,IS1085,1,Voice (Telco),1
10/14/15,55aeef4b323a7fc4009fd78d,IS1099,1,Voice (Telco),1
10/14/15,56046d4796c449533636e063,IS1232,1,Voice (Uvrs),1
10/14/15,56046d4796c449533636e063,IS1230,1,Voice (Uvrs),1
10/14/15,54af021cb01662da5cf89bf2,IS1095,1,Voice (Uvrs),1
10/14/15,561309e896c449533636e2de,IS1052,1,Voice (Telco),1
10/14/15,5501eaa698e6b8749a044ca2,IS1049,1,Voice (Telco),1
10/14/15,56046d4796c449533636e063,IS1231,1,Voice (Telco),1
10/14/15,556f1bd7ebdee613fee3f2cf,IS1003,1,Voice (Uvrs),1
10/14/15,5565e157ebdee613fee3f1c2,IS1003,1,Voice (Uvrs),1
10/14/15,556e2fd3ebdee613fee3f297,IS1057,1,Voice (Uvrs),1
10/14/15,5565d348ebdee613fee3f1ba,IS1003,1,Voice (Uvrs),1
10/14/15,55e7227296c449533636de02,IS1267,1,Voice (Telco),1
10/14/15,555690f2ab88a8b12bfb8636,IS1068,1,Voice (Telco),1
10/14/15,556e2fd3ebdee613fee3f29a,IS1060,1,Voice (Uvrs),1
10/14/15,556e13b3ebdee613fee3f264,IS1157,1,Voice (Uvrs),1
10/14/15,5594958a323a7fc4009fd673,IS1050,1,Voice (Telco),1
10/14/15,55afe292323a7fc4009fd793,IS1067,1,Voice (Telco),1
10/14/15,5514e93898e6b8749a044da6,IS1071,1,Voice (Telco),1
10/14/15,55dddcd696c449533636dd89,IS1267,1,Voice (Uvrs),1
10/14/15,55e9e51796c449533636de55,IS1033,1,Voice (Uvrs),1
10/14/15,549302bab01662da5cf89b16,IS1022,1,Voice (Uvrs),1
10/14/15,55bee26496c449533636d846,IS1205,1,Voice (Telco),1
10/14/15,55afe292323a7fc4009fd793,IS1066,1,Voice (Telco),1
10/14/15,55cbd86396c449533636dba4,IS1033,1,Voice (Uvrs),1
10/14/15,55e873f296c449533636de4d,IS1273,1,Voice (Uvrs),1
10/14/15,5609c18296c449533636e0b2,IS1053,1,Voice (Telco),1
10/14/15,5579f132ebdee613fee3f363,IS1234,1,"Voice (Telco),Voice (Uvrs)",1
10/14/15,5612175396c449533636e2bb,IS1001,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89c07,IS1092,1,Voice (Uvrs),1
10/14/15,54af021db01662da5cf89c12,IS1092,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89bf2,IS1092,1,Voice (Telco),1
10/14/15,5579f132ebdee613fee3f362,IS1060,1,Voice (Telco),1
10/14/15,5565e157ebdee613fee3f1c4,IS1266,1,Voice (Uvrs),1
10/14/15,561c98c796c449533636e3b3,IS1058,1,Voice (Telco),1
10/14/15,5579f132ebdee613fee3f362,IS1059,1,Voice (Uvrs),1
10/14/15,5612edd096c449533636e2d3,IS1234,1,Voice (Uvrs),1
10/14/15,5609a53a96c449533636e0aa,IS1047,1,Voice (Telco),1
10/14/15,54af021cb01662da5cf89bf4,IS1092,1,Voice (Telco),1
